Name,RA (J2000),Dec (J2000),Z,IR SFR,IR SFR Err,IR Luminosity,data,21 cm Flux,21 cm Flux Error,Luminosity,Luminosity Error (stat.),21 cm SFR,21 cm SFR Error (stat.),RMS,IR Error syst.,imfit max,imfit max_err,aper flux err/imfit err,geo_mean/rms,detect
J010624.25,16.601056,-10.391647,0.455,128.0,18.0,856613000000,1.0,8.9e-05,1.9e-05,6.1e+29,1.3e+29,54.0,12.0,2.1e-05,0.33539044646324717,8.91884e-05,1.940892e-05,0.5982397956486989,4.247066666666667,1.0
J082638.41,126.660061,43.091498,0.603,243.0,48.0,1633690000000,1.0,0.000168,2e-05,2.2e+30,2.7e+29,196.0,24.0,2.2e-05,0.3355474291331491,0.000168182,2.040854e-05,0.5869937702344536,7.644636363636364,1.0
J082733.87,126.891152,29.914241,0.681,70.0,34.0,470888000000,1.0,0.0165,1.2e-05,2.8617e+32,2e+29,25470.0,18.0,1.2e-05,0.33553488954771343,0.0165,1.161312e-05,0.7224405712579148,1375.0,1.0
J090523.59,136.348322,57.986791,0.712,300.0,53.0,2012260000000,1.0,0.000107,2.2e-05,2.05e+30,4.2e+29,182.0,37.0,2.5e-05,0.3354868410311937,0.000106509,2.183325e-05,0.5907637278510349,4.26036,1.0
J090842.76,137.178177,10.650213,0.502,44.0,13.0,296655000000,1.0,1.8e-05,1.8e-05,4.8e+29,1.6e+29,43.0,14.0,1.9e-05,0.3353842369896375,1.81038e-05,1.786202e-05,0.569462566697315,0.9528315789473685,0.0
J094417.84,146.07437,9.505386,0.514,,,,1.0,8e-06,1.8e-05,5e+29,1.7e+29,45.0,15.0,1.9e-05,0.33545510706475257,8.37991e-06,1.843492e-05,0.7997204426321112,0.4410478947368421,0.0
J103906.96,159.779032,45.631681,0.634,56.0,31.0,377582000000,1.0,3.4e-05,1e-05,5e+29,1.4e+29,45.0,12.0,1.1e-05,0.33543984283478,3.42632e-05,9.523414e-06,0.5689540473233224,3.1148363636363636,1.0
J110702.87,166.761969,4.284098,0.467,195.0,25.0,1307150000000,1.0,0.00013,2.5e-05,9.4e+29,1.8e+29,84.0,16.0,2.5e-05,0.3354704166264366,0.000129877,2.472273e-05,0.6471778689547595,5.19508,1.0
J112518.89,171.328743,-1.759007,0.519,105.0,23.0,702325000000,1.0,-1.3e-05,-1.9e-05,5.5e+29,1.8e+29,49.0,16.0,2e-05,0.33559480712555717,-1.29086e-05,1.856264e-05,-0.5864752595708626,0.64543,0.0
J121955.77,184.982405,3.604418,0.451,230.0,23.0,1547620000000,1.0,8.1e-05,2.2e-05,5.4e+29,1.5e+29,48.0,13.0,2.2e-05,0.33547683767336367,8.10428e-05,2.195078e-05,0.6389565320414664,3.683763636363637,1.0
J122949.83,187.457628,35.754758,0.614,24.0,16.0,162085000000,1.0,7e-05,1.6e-05,9.5e+29,2.2e+29,85.0,19.0,1.6e-05,0.3353840964356796,6.96439e-05,1.604323e-05,0.657765333354201,4.35274375,1.0
J123215.82,188.065939,7.389085,0.4,32.2,9.4,216044000000,1.0,9.3e-05,2.5e-05,4.7e+29,1.3e+29,42.0,11.0,2.6e-05,0.3354350335805386,9.2756e-05,2.51543e-05,0.5762894419300227,3.567538461538462,1.0
J124807.15,192.029806,6.01996,0.632,7.3,7.2,48792000000,1.0,1.5e-05,1.1e-05,5.1e+29,1.7e+29,46.0,15.0,1.2e-05,0.3355284003399348,1.53098e-05,1.097533e-05,0.575721380708648,1.2758166666666666,0.0
J134136.79,205.403325,-3.35702,0.658,520.0,50.0,3494710000000,1.0,0.000104,1.6e-05,1.66e+30,2.5e+29,148.0,22.0,1.6e-05,0.3355151300182155,0.000103944,1.569542e-05,0.6141782323956902,6.496500000000001,1.0
J150603.69,226.515382,61.530031,0.437,26.5,4.9,178179000000,1.0,4e-06,2.1e-05,4.7e+29,1.6e+29,42.0,14.0,2.5e-05,0.33539501764993523,4.1482e-06,2.05857e-05,0.5667205122478423,0.16592800000000002,0.0
J161332.52,243.385524,28.570772,0.449,377.0,18.0,2533440000000,1.0,0.000324,2.6e-05,2.15e+30,1.7e+29,191.0,15.0,2.6e-05,0.3354208296842216,0.000324036,2.593234e-05,0.5931733801229134,12.462923076923078,1.0
J211625.14,319.104786,-6.579114,0.728,309.0,150.0,2533440000000,1.0,1.1e-05,1.2e-05,7.6e+29,2.5e+29,68.0,23.0,1.3e-05,0.3355084291147509,1.08214e-05,1.228591e-05,0.6683123684634931,0.8324153846153847,0.0
J211824.06,319.600256,0.291507,0.459,257.0,25.0,1729300000000,1.0,0.000505,2.5e-05,3.52e+30,1.7e+29,314.0,15.0,2.5e-05,0.3355517847992958,0.000505421,2.450145e-05,0.7073411383453627,20.21684,1.0
J214000.49,325.002059,12.154051,0.752,368.0,93.0,2471120000000,1.0,4.1e-05,1e-05,8.9e+29,2.1e+29,79.0,19.0,1e-05,0.3355360484439839,4.07977e-05,9.706487e-06,0.7226818705375073,4.079769999999999,1.0
J225623.75,344.098989,15.073551,0.727,85.0,54.0,570082000000,1.0,5e-07,9e-06,5.5e+29,1.8e+29,49.0,16.0,9e-06,0.33537994355921635,4.85578e-07,9.04939e-06,0.7163104622535337,0.053953111111111104,0.0
